latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.39266,124.27135,307.08,1.07,1.03,2025-04-22,0149,T,65,6.1NRT,289.03,8.16,D
44.08861,125.46863,301.71,1.18,1.08,2025-04-22,0149,T,34,6.1NRT,286.73,4.44,D
44.03333,125.3907,300.65,1.17,1.08,2025-04-22,0149,T,16,6.1NRT,286.19,3.29,D
44.02308,125.24913,303.62,1.16,1.07,2025-04-22,0149,T,24,6.1NRT,287.85,4.3,D
43.95195,125.43201,302.16,1.18,1.08,2025-04-22,0149,T,31,6.1NRT,286.02,3.87,D
43.97203,125.26147,305.16,1.16,1.07,2025-04-22,0149,T,56,6.1NRT,289.18,5.22,D
43.9067,125.38084,304.28,1.18,1.08,2025-04-22,0149,T,34,6.1NRT,287.08,5.01,D
43.86838,125.48703,305.47,1.19,1.09,2025-04-22,0149,T,54,6.1NRT,286.64,7.69,D
43.82323,125.04034,302.16,1.15,1.07,2025-04-22,0149,T,41,6.1NRT,288.26,4.84,D
43.79494,125.14701,304.28,1.16,1.07,2025-04-22,0149,T,13,6.1NRT,289.15,4.57,D
43.75583,125.17127,304.85,1.16,1.07,2025-04-22,0149,T,60,6.1NRT,289.24,6.2,D
43.96962,123.4164,301.45,1.03,1.02,2025-04-22,0149,T,37,6.1NRT,289.33,3.83,D
44.07143,121.61745,310.49,1,1,2025-04-22,0149,T,63,6.1NRT,293.6,7.1,D
43.49257,123.48989,302.34,1.04,1.02,2025-04-22,0149,T,48,6.1NRT,289.73,3.89,D
43.65033,122.34081,310.68,1,1,2025-04-22,0149,T,67,6.1NRT,292.43,7.44,D
43.37785,123.56712,302.53,1.05,1.02,2025-04-22,0149,T,46,6.1NRT,290,3.98,D
43.54999,122.20736,307.16,1,1,2025-04-22,0149,T,61,6.1NRT,291.95,5.02,D
43.21833,123.22309,304.77,1.04,1.02,2025-04-22,0149,T,58,6.1NRT,288.43,5.3,D
42.23521,122.67233,305.15,1.03,1.01,2025-04-22,0149,T,59,6.1NRT,288.9,5.66,D
42.25523,122.05349,301.65,1.01,1,2025-04-22,0149,T,41,6.1NRT,290.13,3.41,D
-28.87375,115.22969,320.26,3.78,1.82,2025-04-22,0209,T,72,6.1NRT,298.57,69.87,D
-28.86534,115.22575,321.24,3.78,1.82,2025-04-22,0209,T,74,6.1NRT,298.63,78.9,D
-28.86772,115.26376,314.22,3.8,1.82,2025-04-22,0209,T,60,6.1NRT,298.15,35.92,D
-30.36424,116.16962,310.28,4.54,1.96,2025-04-22,0209,T,35,6.1NRT,295.93,40.87,D
-30.36539,116.16496,311.16,4.54,1.96,2025-04-22,0209,T,47,6.1NRT,296.02,47.42,D
-30.57524,116.4324,317.34,4.75,1.99,2025-04-22,0209,T,68,6.1NRT,295.91,91.51,D
-30.57448,116.42712,317.5,4.75,1.99,2025-04-22,0209,T,68,6.1NRT,296.04,98.65,D
-8.11082,112.92719,305.9,1.35,1.15,2025-04-22,0204,T,37,6.1NRT,281.69,11.43,D
-7.72929,109.01089,313.94,1.01,1,2025-04-22,0204,T,0,6.1NRT,297.64,7.2,D
24.44596,108.51691,328.6,2.69,1.57,2025-04-22,0154,T,81,6.1NRT,291.4,84.27,D
24.44378,108.54221,318.04,2.68,1.57,2025-04-22,0154,T,68,6.1NRT,291.85,37.16,D
24.45366,108.51105,320.86,2.69,1.57,2025-04-22,0154,T,73,6.1NRT,291.59,48.84,D
24.45128,108.53651,322.99,2.68,1.57,2025-04-22,0154,T,76,6.1NRT,291.9,58.1,D
23.53145,110.73696,317.33,1.79,1.31,2025-04-22,0154,T,65,6.1NRT,294.56,15.77,D
23.37206,111.16081,317.79,1.66,1.27,2025-04-22,0154,T,50,6.1NRT,296.46,14.03,D
22.62965,109.48302,315.6,2.15,1.42,2025-04-22,0154,T,61,6.1NRT,295.23,17.98,D
20.34989,110.58157,310.02,1.65,1.26,2025-04-22,0156,T,20,6.1NRT,298.18,16.77,D
17.80001,120.66901,312.15,1.9,1.35,2025-04-22,0156,T,51,6.1NRT,297.44,14.72,D
15.23801,120.28394,324.11,1.99,1.38,2025-04-22,0156,T,72,6.1NRT,298.25,37.43,D
17.10726,106.89011,313.27,2.84,1.61,2025-04-22,0156,T,55,6.1NRT,292.12,28.72,D
15.24516,120.27912,320.83,1.99,1.38,2025-04-22,0156,T,61,6.1NRT,301.2,26.84,D
15.2423,120.29641,319.74,2,1.38,2025-04-22,0156,T,57,6.1NRT,298.8,27.3,D
14.73896,120.86713,324.91,2.26,1.46,2025-04-22,0156,T,50,6.1NRT,308.4,50.13,D
10.38119,108.35744,311.37,1.73,1.29,2025-04-22,0158,T,48,6.1NRT,286.67,18.85,D
41.83179,119.29205,310.9,1.06,1.03,2025-04-22,0149,T,66,6.1NRT,295.86,5.46,D
41.01448,122.38837,312.29,1.03,1.02,2025-04-22,0149,T,62,6.1NRT,288.71,10.21,D
40.0542,125.22464,304.15,1.35,1.15,2025-04-22,0149,T,40,6.1NRT,290.02,8.35,D
40.18169,124.35335,312.43,1.22,1.1,2025-04-22,0149,T,71,6.1NRT,294.43,9.62,D
40.24456,121.02871,312.96,1,1,2025-04-22,0149,T,56,6.1NRT,278.88,15.74,D
